Taxonomy	SRX2199539	SRX2199670	SRX2199763	SRX2199673	SRX2199755	SRX2199636	SRX2199674	SRX2199676	SRX2199624	SRX2199553	SRX2199782	SRX2199750	SRX2199681	SRX2199775	SRX2199300	SRX2199629	SRX2199675	SRX2199552	SRX2199443	SRX2199663	ravg	SRX2199608	SRX2199470	SRX2234477	SRX2199475	SRX2234458	SRX2234572	SRX2234453	SRX2234456	SRX2234559	SRX2234523	SRX2199472	SRX2199601	SRX2199644	SRX2234520	SRX2234430	favg
Archaea;Euryarchaeota;Archaeoglobi;Archaeoglobales;Archaeoglobaceae;Archaeoglobus	1.47E-05	0	0	0	3.14E-05	0	9.33E-06	1.00E-05	8.11E-05	5.11E-06	9.48E-06	0	1.53E-05	9.11E-06	6.12E-05	1.87E-05	0.0001615677326	0	7.64E-05	0	2.52E-05	2.52E-05	8.42E-05	1.92E-05	0	0.0006420410536	2.71E-05	0	4.88E-06	7.29E-05	0	6.21E-05	8.35E-06	0.0005979448635	4.26E-06	2.42E-05	0.0001048230413
Archaea;Euryarchaeota;Halobacteria	0	0	0	0	0	9.53E-06	0	0	9.01E-06	1.02E-05	0	2.52E-05	7.63E-06	0	1.53E-05	0	1.08E-05	0	0	2.02E-05	5.39E-06	4.20E-05	5.61E-05	0	0	2.57E-05	2.71E-05	0	0	0	0	0	1.67E-05	0.0001138942597	0	0	1.88E-05
Archaea;Euryarchaeota;Halobacteria;Halobacteriales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Haloarculaceae	0	0	0	1.14E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.71E-07	0	0	0	0	0	0	0	0	0	0	0	8.35E-06	0	0	0	5.57E-07
Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Haloarculaceae;Haloarcula	4.89E-06	0	0	4.57E-05	5.24E-05	4.76E-05	0	5.01E-05	1.80E-05	1.02E-05	9.48E-06	0	1.53E-05	0.0001639018847	0	1.87E-05	2.15E-05	2.32E-05	0	6.07E-05	2.71E-05	2.52E-05	5.15E-05	6.39E-06	0.0001203926589	2.57E-05	0	2.78E-05	9.75E-06	0.00010199584	0	0	0	0.0001138942597	4.26E-06	9.68E-06	3.31E-05
Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Haloarculaceae;Haloarculaceae archaeon HArcel1	9.77E-06	1.22E-05	0	0	1.05E-05	0	0	0	1.80E-05	5.11E-06	0	0	3.82E-05	0	0	0	0	0	0	2.02E-05	5.70E-06	1.68E-05	3.27E-05	0	1.72E-05	6.42E-05	1.36E-05	5.55E-05	4.88E-06	1.46E-05	0	0	8.35E-06	0	8.51E-06	0	1.58E-05
Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Haloarculaceae;Halomicrobium	1.47E-05	0	0	0	0	0	0	0	9.01E-06	1.02E-05	0	2.52E-05	0	0	0	2.80E-05	0	0	0	0	4.35E-06	1.68E-05	3.27E-05	0	1.72E-05	0	0.0002850610499	0	3.90E-05	0	0	1.03E-05	1.67E-05	0	0	0	2.79E-05
Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Haloarculaceae;Halorientalis	9.77E-06	0	0	0	0	2.86E-05	9.33E-06	0	8.11E-05	5.11E-06	9.48E-06	0	0	0	3.06E-05	2.80E-05	1.08E-05	0	1.53E-05	4.05E-05	1.34E-05	0	3.27E-05	0	3.44E-05	1.28E-05	0	0	4.88E-06	0	0	1.55E-05	4.18E-05	8.54E-05	0	0	1.52E-05
Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Haloarculaceae;Natronomonas	4.89E-06	0	1.32E-05	0	1.05E-05	9.53E-06	9.33E-06	1.00E-05	1.80E-05	1.02E-05	1.90E-05	0	0	0	1.53E-05	0	0	5.80E-06	3.06E-05	4.05E-05	9.84E-06	4.20E-05	5.15E-05	6.39E-06	0	0	4.07E-05	0	0	0.0001165666743	0	0	8.35E-06	8.54E-05	4.26E-05	4.84E-06	2.66E-05
Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Halalkalicoccus	3.42E-05	0	0	0	2.09E-05	2.86E-05	0	0	3.60E-05	1.02E-05	9.48E-06	0	0	0	3.06E-05	0	0	1.16E-05	0	0	9.08E-06	8.41E-06	4.68E-06	0	1.72E-05	0	0	0	0	2.91E-05	3.85E-06	0	0	7.12E-05	0	0	8.96E-06
Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Halobacterium	7.82E-05	0	1.32E-05	0	0	4.76E-05	0	2.00E-05	0.0001891437265	1.02E-05	2.84E-05	0	7.63E-06	0	4.59E-05	9.35E-06	1.08E-05	5.80E-05	3.06E-05	0.0002631691886	4.06E-05	2.52E-05	0.0002994205277	0	0.0001031937077	2.57E-05	0	0	0	2.91E-05	1.54E-05	1.03E-05	0.0001670404057	0.0002420253019	2.98E-05	1.94E-05	6.44E-05
Archaea;Euryarchaeota;Halobacteria;Haloferacales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.53E-05	0	7.64E-07	0	4.68E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	3.12E-07
Archaea;Euryarchaeota;Halobacteria;Haloferacales;Haloferacaceae	0	0	0	0	0	9.53E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.76E-07	0	0	0	0	0	0	0	4.88E-06	0	0	0	0	0	0	0	3.25E-07
Archaea;Euryarchaeota;Halobacteria;Haloferacales;Haloferacaceae;Haloferax	5.86E-05	0	0.0001056655211	1.14E-05	0	0	0	1.00E-05	0.0001351026618	3.57E-05	0	0	1.53E-05	0	3.06E-05	0	2.15E-05	5.80E-06	0	8.10E-05	2.55E-05	3.36E-05	0.0003695972139	3.20E-05	1.72E-05	0.000526473664	1.36E-05	0	9.75E-06	0.0001457083429	1.16E-05	0	4.18E-05	0.0002704988668	4.26E-06	9.68E-06	9.90E-05
Archaea;Euryarchaeota;Halobacteria;Haloferacales;Halorubraceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Archaea;Euryarchaeota;Halobacteria;Haloferacales;Halorubraceae;Halohasta	1.95E-05	0	0	0	0	0	0	2.00E-05	0.0002792121677	0	0	2.52E-05	7.63E-06	9.11E-06	6.12E-05	9.35E-06	0	1.16E-05	1.53E-05	6.07E-05	2.59E-05	8.41E-06	3.74E-05	0	0	0	0	0	0	0.0001457083429	0	0	2.51E-05	0	4.26E-06	0	1.47E-05
Archaea;Euryarchaeota;Halobacteria;Haloferacales;Halorubraceae;Salinigranum	4.89E-06	0	0	1.14E-05	0	3.81E-05	9.33E-06	1.00E-05	1.80E-05	5.11E-06	9.48E-06	0	7.63E-06	0	1.53E-05	0	0	0	0	2.02E-05	7.48E-06	8.41E-06	0.0001871378298	0.0001150597486	1.72E-05	6.42E-05	0	0	0	2.91E-05	0	5.17E-06	0	4.27E-05	2.13E-05	0	3.27E-05
Archaea;Euryarchaeota;Halobacteria;Haloferacales;halophilic archaeon DL31	2.44E-05	0	0	0	0	4.76E-05	0	0	3.60E-05	5.11E-06	0	0	0	0	0	0	0	1.74E-05	0	0.0001417064862	1.36E-05	8.41E-06	5.61E-05	6.39E-06	0	0	0	0	0	0	0	1.03E-05	0	1.42E-05	4.26E-06	0	6.65E-06
Archaea;Euryarchaeota;Halobacteria;Natrialbales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Archaea;Euryarchaeota;Halobacteria;Natrialbales;Natrialbaceae	0	0	0	1.14E-05	1.05E-05	9.53E-06	0	0	0	0	0	0	0	0	0	0	1.08E-05	5.80E-06	0	2.02E-05	3.41E-06	8.41E-06	9.36E-06	6.39E-06	0	0	0	0	4.88E-06	1.46E-05	0	0	0	4.27E-05	4.26E-06	0	6.04E-06
Archaea;Euryarchaeota;Halobacteria;Natrialbales;Natrialbaceae;Halopiger	8.80E-05	0	0	2.28E-05	0.0007957994355	9.53E-06	9.33E-06	2.00E-05	9.01E-06	1.02E-05	1.90E-05	0	0	0	3.06E-05	0	0	0	0	2.02E-05	5.17E-05	3.36E-05	3.27E-05	0	0	0	0	0	0	0	3.85E-05	5.17E-06	0	4.27E-05	8.51E-06	0	1.08E-05
Archaea;Euryarchaeota;Halobacteria;Natrialbales;Natrialbaceae;Haloterrigena	2.93E-05	0	0	2.28E-05	2.09E-05	0	0	1.00E-05	9.01E-06	1.53E-05	9.48E-06	0	7.63E-06	0	7.65E-05	0	1.08E-05	0	0.0001222127473	6.07E-05	1.97E-05	3.36E-05	3.27E-05	6.39E-06	0.0001203926589	3.85E-05	2.71E-05	0	0	4.37E-05	0	2.59E-05	8.35E-06	0.0002704988668	6.38E-05	6.29E-05	4.89E-05
Archaea;Euryarchaeota;Halobacteria;Natrialbales;Natrialbaceae;Natrialba	0	0	1.32E-05	0	0	0	0	0	4.50E-05	5.11E-06	0	0	0	0	1.53E-05	1.87E-05	1.08E-05	0	0	0	5.41E-06	5.04E-05	3.74E-05	0.0001086675404	0	1.28E-05	0	0	4.88E-06	0	0	0	0	1.42E-05	4.26E-05	4.84E-06	1.84E-05
Archaea;Euryarchaeota;Halobacteria;Natrialbales;Natrialbaceae;Natrinema	4.40E-05	0	1.32E-05	0	1.05E-05	1.91E-05	0	0	9.01E-06	5.11E-06	1.90E-05	0	7.63E-06	0	6.12E-05	0	0	0	4.58E-05	4.05E-05	1.37E-05	3.36E-05	6.08E-05	6.39E-06	0	0	4.07E-05	0	4.88E-06	7.29E-05	0	2.07E-05	0	8.54E-05	8.51E-06	0	2.23E-05
Archaea;Euryarchaeota;Halobacteria;Natrialbales;Natrialbaceae;Natronobacterium	2.93E-05	0	2.64E-05	0	0	0	0	0	0.0001531163501	0	0	0	0	0	0.0001070714252	0	0	0	0	4.05E-05	1.78E-05	8.41E-06	3.27E-05	6.39E-06	1.72E-05	0.000179771495	1.36E-05	0	0	0	0	5.17E-06	0	0.0001423678246	4.26E-06	0	2.73E-05
Archaea;Euryarchaeota;Methanobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;Methanobacterium	6.35E-05	0	0	1.14E-05	1.05E-05	0	0	1.00E-05	0.0001080821294	5.11E-06	0	0	7.63E-06	0	0.000673020387	1.87E-05	6.46E-05	2.90E-05	7.64E-05	4.05E-05	5.59E-05	6.72E-05	7.49E-05	0.0001150597486	0.0001375916102	0.002735094889	9.50E-05	0.0001387637702	2.44E-05	0.0006994000459	3.85E-06	2.59E-05	0	0.001025048337	5.96E-05	0.0009290919897	0.0004087239446
Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;Methanobrevibacter	0.0001612550372	1.22E-05	0	3.43E-05	0.0009319230232	1.91E-05	1.87E-05	3.01E-05	0.0003422600766	1.53E-05	0	2.52E-05	7.63E-06	0	0.0004894693724	4.67E-05	0.0003769913762	5.80E-06	6.11E-05	0.0001214627024	0.0001349672793	0.0002521757726	0.00021988695	8.95E-05	0.001169528687	0.0001155673897	0.0003800813999	0.0003607858026	0	0.002753887681	0.0003584291001	0.000300012404	1.67E-05	0.0002704988668	0.0001276977316	0.0003967997039	0.0004541030963
Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;Methanosphaera	4.40E-05	0	0	0	1.05E-05	5.72E-05	9.33E-06	0	9.01E-06	0	0	0	7.63E-06	9.11E-06	0.0008259795659	9.35E-06	9.69E-05	0	1.53E-05	4.05E-05	5.67E-05	0	4.68E-06	5.11E-05	3.44E-05	0.0001027265686	5.43E-05	0	0	0.0006702583773	0	4.66E-05	0.0002923207099	5.69E-05	1.70E-05	0.001006516322	0.0001557906985
Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;Methanothermobacter	4.89E-06	0	5.28E-05	0	0	0	9.33E-06	0	6.30E-05	0	0	0	0	0	1.53E-05	0	0	0	0	0	7.27E-06	5.88E-05	0.0002900636362	1.92E-05	3.44E-05	1.28E-05	0	0	0	5.83E-05	3.85E-06	5.17E-06	8.35E-06	2.85E-05	4.26E-06	4.84E-06	3.52E-05
Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanothermaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanothermaceae;Methanothermus	9.77E-06	0	1.32E-05	0	0	0	0	0	2.70E-05	0	0	0	7.63E-06	0	0	9.35E-06	0	0	0.0001222127473	0	9.46E-06	8.41E-06	3.74E-05	0	0	0	1.36E-05	5.55E-05	0	4.37E-05	0	0	0	1.42E-05	4.26E-06	5.32E-05	1.54E-05
Archaea;Euryarchaeota;Methanococci	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Archaea;Euryarchaeota;Methanococci;Methanococcales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.41E-06	0	0	0	0	0	0	0	0	0	0	0	2.85E-05	0	0	2.46E-06
Archaea;Euryarchaeota;Methanococci;Methanococcales;Methanocaldococcaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Archaea;Euryarchaeota;Methanococci;Methanococcales;Methanocaldococcaceae;Methanotorris	0.001534366112	0	0	0	0	0	0	0	7.21E-05	0	9.48E-06	0	0	0	1.53E-05	9.35E-06	1.08E-05	0	0	0.001336089727	0.0001493703778	8.41E-06	1.87E-05	0.0001981584559	0	2.57E-05	0	0	0	1.46E-05	3.85E-06	5.17E-06	0	1.42E-05	2.98E-05	1.45E-05	2.22E-05
Archaea;Euryarchaeota;Methanococci;Methanococcales;Methanococcaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.35E-06	0	0	0	0	4.67E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Archaea;Euryarchaeota;Methanococci;Methanococcales;Methanococcaceae;Methanococcus	9.28E-05	0	1.32E-05	0	5.24E-05	4.76E-05	1.87E-05	2.00E-05	6.30E-05	1.53E-05	4.74E-05	0.0001258614271	1.53E-05	1.82E-05	0.0003059183577	9.35E-06	9.69E-05	1.74E-05	0.0002902552749	0.0002024378374	7.26E-05	0.000193334759	0.000257314516	6.39E-05	0.000619162246	0.0001155673897	0.0006651424498	5.55E-05	4.88E-06	0.0006994000459	2.31E-05	5.69E-05	1.67E-05	0.000583708081	8.94E-05	0.0001548486649	0.000239926463
Archaea;Euryarchaeota;Methanomicrobia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.53E-05	0	7.64E-07	0	0	6.39E-06	0	0	0	0	0	1.46E-05	0	0	0	0	0	0	1.40E-06
Archaea;Euryarchaeota;Methanomicrobia;Methanomicrobiales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.68E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.12E-06
Archaea;Euryarchaeota;Methanomicrobia;Methanomicrobiales;Methanocorpusculaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Archaea;Euryarchaeota;Methanomicrobia;Methanomicrobiales;Methanocorpusculaceae;Methanocorpusculum	5.86E-05	0	0	0	4.19E-05	9.53E-06	0	0	5.40E-05	0	0	0	0	0	0.000137663261	0	3.23E-05	0	0	4.05E-05	1.87E-05	0	4.21E-05	0	3.44E-05	0.001348286213	1.36E-05	0	0	0.0003059875201	0	1.03E-05	0	8.54E-05	5.11E-05	1.94E-05	0.0001273702072
Archaea;Euryarchaeota;Methanomicrobia;Methanomicrobiales;Methanomicrobiaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.65E-05	0	0	0	0	0	3.82E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Archaea;Euryarchaeota;Methanomicrobia;Methanomicrobiales;Methanomicrobiaceae;Methanofollis	1.47E-05	0	0	5.71E-05	0	9.53E-06	0	0	1.80E-05	2.04E-05	0	0	7.63E-06	9.11E-06	0	0	0	0	1.53E-05	0	7.59E-06	0	3.27E-05	0	1.72E-05	1.28E-05	1.36E-05	0	0	4.37E-05	0	5.17E-06	0	9.97E-05	0	4.84E-06	1.53E-05
Archaea;Euryarchaeota;Methanomicrobia;Methanomicrobiales;Methanomicrobiaceae;Methanoplanus	3.42E-05	0	0	0	0	9.53E-06	0	0	9.01E-05	0	0	0	0	0	0.0005200612081	0	0	0	3.06E-05	8.10E-05	3.83E-05	8.41E-06	3.27E-05	0.0001150597486	3.44E-05	2.57E-05	1.36E-05	0	0	0.0003205583544	3.85E-06	0	0	7.12E-05	2.13E-05	0	4.31E-05
Archaea;Euryarchaeota;Methanomicrobia;Methanomicrobiales;Methanoregulaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Archaea;Euryarchaeota;Methanomicrobia;Methanomicrobiales;Methanoregulaceae;Methanoregula	4.89E-06	0	0	0	0	0	0	0	1.80E-05	2.55E-05	0	0	0	2.73E-05	4.59E-05	0	3.23E-05	1.16E-05	0	0	8.28E-06	0.0005547866996	8.89E-05	4.47E-05	0.0003267800743	1.28E-05	1.36E-05	5.55E-05	4.88E-06	0.0002914166858	3.85E-06	2.59E-05	1.67E-05	0.009410513209	0	9.68E-06	0.0007240018629
Archaea;Euryarchaeota;Methanomicrobia;Methanosarcinales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Archaea;Euryarchaeota;Methanomicrobia;Methanosarcinales;Methanosaetaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
